code,longitude,latitude
AHAQ,116.9,30.6
AHBB,117.2,32.9
BJFS,115.8,39.6
BJGB,119.1,40.6
BJSH,116.2,40.2
BJYQ,115.9,40.3
CHUN,125.4,43.7
CQCS,107.2,29.9
CQWZ,108.4,30.7
DLHA,97.3,37.3
DXIN,100.2,40.9
FJPT,119.7,25.5
FJWY,117.9,27.6
FJXP,120.0,26.8
GDSG,113.5,24.8
GDST,116.6,23.4
GDZH,113.5,22.2
GDZJ,110.3,21.1
GSAX,95.7,40.5
GSDH,94.6,40.1
GSDX,104.6,35.5
GSGL,102.8,37.4
GSGT,99.8,39.4
GSJN,105.7,35.5
GSJT,104.0,37.1
GSJY,98.2,39.8
GSLX,104.6,34.9
GSLZ,103.6,36.0
GSMA,102.0,34.0
GSML,100.6,38.4
GSMQ,103.0,38.6
GSMX,104.0,34.4
GSPL,106.5,35.5
GSQS,106.2,34.7
GSTS,105.9,34.4
GSWD,104.8,33.4
GUAN,113.3,23.1
GXBH,109.2,21.6
GXBS,106.6,23.9
GXGL,110.3,25.1
GXHC,108.0,24.6
GXNN,108.1,22.5
GXWZ,111.2,23.4
GZFG,107.7,27.9
GZGY,106.6,26.4
GZSC,104.8,26.5
HAHB,114.5,35.6
HAJY,112.4,35.1
HAQS,114.5,33.0
HBES,109.4,30.2
HBJM,112.1,31.1
HBXF,112.3,32.0
HBZG,110.9,30.8
HECC,115.8,40.8
HECD,117.9,41.0
HECX,116.5,38.2
HELQ,114.3,38.2
HELY,114.7,37.3
HETS,118.3,39.7
HEYY,114.1,40.1
HEZJ,114.8,40.8
HIHK,110.2,19.9
HISY,109.5,18.2
HIYS,113.0,9.6
HLAR,119.7,49.2
HLFY,134.2,48.3
HLHG,130.2,47.3
HLMH,122.5,52.9
HLWD,126.1,48.6
HNCS,113.0,28.1
HNMY,109.7,27.8
HRBN,126.6,45.7
JIXN,117.6,40.0
JLCB,128.1,42.4
JLYJ,129.5,42.8
JSLS,119.4,31.3
JSLY,119.4,34.7
JSNT,120.8,31.9
JSYC,120.1,33.3
JXHK,116.1,29.7
JXJA,115.0,26.7
KMIN,102.7,25.0
LALB,102.2,19.8
LALP,102.2,19.8
LALX,105.0,18.1
LHAS,91.1,29.6
LNDD,124.3,40.0
LNHL,120.8,40.6
LNJZ,121.7,39.0
LNSY,123.5,41.8
LNYK,122.6,40.6
LUZH,105.4,28.8
MMMZ,97.4,25.4
MMNS,99.6,21.3
NMAG,122.0,46.0
NMAL,120.1,43.8
NMAY,101.6,39.2
NMAZ,105.6,38.8
NMBT,110.0,40.6
NMDW,116.9,45.5
NMED,123.5,44.4
NMEJ,101.0,41.9
NMEL,111.9,43.6
NMER,123.7,50.5
NMTK,111.1,40.2
NMWH,106.8,39.6
NMWJ,108.0,41.3
NMWL,122.0,46.0
NMWT,107.4,40.7
NMZL,115.9,42.2
NXHY,105.6,36.5
NXYC,106.2,38.4
NXZW,105.2,37.6
QHBM,100.7,32.9
QHDL,98.0,36.2
QHGC,100.1,37.3
QHGE,94.7,36.1
QHLH,93.3,38.7
QHMD,98.2,34.9
QHME,101.4,37.4
QHMQ,100.2,34.4
QHMY,91.4,37.9
QHQL,100.2,38.2
QHTR,102.0,35.5
QHTT,92.4,34.2
QHYS,97.0,33.0
QION,109.8,19.0
SCBZ,106.7,31.8
SCDF,101.1,30.9
SCGU,105.8,32.4
SCGY,105.8,32.4
SCGZ,100.0,31.6
SCJL,101.5,29.0
SCJU,104.5,28.1
SCLH,100.6,31.3
SCLT,100.2,29.9
SCMB,103.5,28.8
SCML,101.2,27.9
SCMN,102.1,28.3
SCMX,103.8,31.6
SCNC,105.8,30.9
SCNN,102.7,27.0
SCPZ,101.7,26.5
SCSM,102.3,29.2
SCSN,105.5,30.5
SCSP,103.5,32.6
SCTQ,102.7,30.0
SCXC,99.8,28.9
SCXD,102.4,28.3
SCXJ,102.3,31.0
SCYX,102.5,28.6
SCYY,101.5,27.4
SDCY,119.4,36.7
