station_id,city,country_code,latitude,longitude
AAER00FRA,CHARLEVILLE-MEZIERES,FRA,49.7825,4.6426
ACOR00ESP,A Coruna,ESP,43.3644,-8.3989
ADAR00GBR,Aberdaron,GBR,52.7892,-4.7413
AGRN00ITA,Agrigento,ITA,37.3033,13.5965
ALKS00LVA,Aluksne,LVA,57.4397,27.0352
ANKR00TUR,Ankara,TUR,39.8875,32.7586
ARA200SVN,Areh,SVN,46.4946,15.5088
ARIS00GBR,Arisaig,GBR,56.9096,-5.8494
ARJ600SWE,Arjeplog,SWE,66.3180,18.1250
ASGA00CYP,Asgata,CYP,34.7860,33.2488
AUBG00DEU,Augsburg,DEU,48.4213,10.9213
AUT100GRC,Thessaloniki,GRC,40.5668,23.0037
BACA00ROU,Bacau,ROU,46.5621,26.9122
BADH00DEU,Bad Homburg,DEU,50.2280,8.6099
BBYS00SVK,Banska Bystrica,SVK,48.7518,19.1510
BCLN00ESP,Sant Vicenc dels Horts,ESP,41.4054,2.0042
BELF00GBR,Belfast,GBR,54.5772,-5.9319
BISK00CZE,Zlate Hory,CZE,50.2567,17.4286
BME100HUN,Budapest,HUN,47.4790,19.0577
BOGE00POL,Borowa Gora,POL,52.4752,21.0350
BORJ00DEU,Borkum,DEU,53.5789,6.6664
BRON00FRA,Bron,FRA,45.7261,4.9384
BRST00FRA,Brest,FRA,48.3805,-4.4966
BRUS00BEL,Brussels,BEL,50.7978,4.3592
BRUX00BEL,Brussels,BEL,50.7981,4.3586
BUCU00ROU,Bucuresti,ROU,44.4639,26.1257
BUDD00DNK,Copenhagen,DNK,55.7389,12.5000
BUTE00HUN,Budapest,HUN,47.4809,19.0565
BYDG00POL,Bydgoszcz,POL,53.1346,17.9936
CACE00ESP,Caceres,ESP,39.4789,-6.3418
CAEN00FRA,Caen,FRA,49.1827,-0.4571
CAKO00HRV,Cakovec,HRV,46.3871,16.4391
CASB00IRL,CastleBar,IRL,53.8508,-9.2873
CASC00PRT,Cascais,PRT,38.6934,-9.4185
CFRM00CZE,Frydek Mistek,CZE,49.6848,18.3532
CHIO00GBR,Chilbolton,GBR,51.1490,-1.4383
CLIB00CZE,Liberec,CZE,50.7717,15.0599
COST00ROU,Constanta,ROU,44.1615,28.6575
DARE00GBR,Daresbury,GBR,53.3448,-2.6405
DELF00NLD,Delft,NLD,51.9861,4.3876
DENT00BEL,Dentergem,BEL,50.9337,3.3997
