station,latitude,longitude,height,source
GANR,37.7862150000,128.8729270000,55.0350,cors_20260818113354.xls
KAWH,37.7446485100,126.4897711000,48.7970,cors_20260818113354.xls
GOJE,34.8851400000,128.6206900000,60.8950,cors_20260818113354.xls
GOSN,38.3802856900,128.4628774000,48.5730,cors_20260818113354.xls
GOHN,34.6139673200,127.2892920000,70.2320,cors_20260818113354.xls
GOES,36.8164997400,127.7803378000,159.8160,cors_20260818113354.xls
GUNW,36.2372401600,128.5677583000,127.0850,cors_20260818113354.xls
GIJN,35.2409541200,129.2141138000,65.5760,cors_20260818113354.xls
NAJU,35.0228768700,126.7137786000,72.4010,cors_20260818113354.xls
MJOO,36.0104783200,127.6657737000,261.8810,cors_20260818113354.xls
BOUN,36.4886239000,127.7154223000,196.3630,cors_20260818113354.xls
SGUI,33.2546039700,126.5203775000,179.3100,cors_20260818113354.xls
SCHN,36.0793653200,126.6912281000,48.9250,cors_20260818113354.xls
YEJU,37.2914146700,127.6409031000,94.0970,cors_20260818113354.xls
YNDK,36.4124451400,129.3718900000,56.6890,cors_20260818113354.xls
YONJ,36.8073418400,128.6224851000,180.0320,cors_20260818113354.xls
YOIN,37.2322966900,127.2012785000,140.2270,cors_20260818113354.xls
ULSN,35.5748084500,129.3088465000,220.1930,cors_20260818113354.xls
WLJN,36.9928232000,129.4045007000,50.8180,cors_20260818113354.xls
IMSL,35.6191695400,127.2927369000,265.7440,cors_20260818113354.xls
JNDO,34.4815342400,126.2615060000,39.1090,cors_20260818113354.xls
CHND,35.6422518700,128.7412380000,126.6900,cors_20260818113354.xls
CHNY,36.4524619000,126.8057640000,131.5670,cors_20260818113354.xls
TEAN,36.7544008400,126.2917426000,70.4440,cors_20260818113354.xls
PNCH,37.3687824000,128.3927582000,331.8090,cors_20260818113354.xls
POCH,37.8907277700,127.2003741000,135.1600,cors_20260818113354.xls
HADN,35.0645726400,127.7482863000,46.4900,cors_20260818113354.xls
HPCN,35.5659071000,128.1676062000,74.5650,cors_20260818113354.xls
HSNG,37.2011714400,126.8289266000,85.6790,cors_20260818113354.xls
HWCH,38.1101951000,127.7083657000,145.8820,cors_20260818113354.xls
JICH,36.9912500000,127.4304444400,110.0800,cors_20260818113354.xls
GANG,37.7073333300,126.4463333300,43.5010,cors_20260818113354.xls
DJKD,37.9021111100,127.0611500000,147.9560,cors_20260818113354.xls
DODC,37.9021111100,127.0611500000,147.9560,cors_20260818113354.xls
MEON,37.5619444400,128.3776944400,559.4843,cors_20260818113354.xls
BRDO,37.9672226900,124.6304238000,180.9790,cors_20260818113354.xls
BORE,36.3270000000,126.5575277800,40.5780,cors_20260818113354.xls
BOSN,34.7640833300,127.2126388900,29.2840,cors_20260818113354.xls
GRYB,36.6253611100,125.5595277800,125.6160,cors_20260818113354.xls
SDSM,37.5714166700,126.9660277800,116.3830,cors_20260818113354.xls
SWON,37.2725194400,126.9854500000,70.6780,cors_20260818113354.xls
YNPY,37.4885555600,127.4944444400,73.5810,cors_20260818113354.xls
YPDO,37.6644305600,125.7023388900,35.0300,cors_20260818113354.xls
ICHE,37.2641805600,127.4841694400,108.8020,cors_20260818113354.xls
KEOP,37.4777777800,126.6241388900,102.4130,cors_20260818113354.xls
CNAN,36.7626388900,127.2927777800,111.5790,cors_20260818113354.xls
CLWN,38.1478888900,127.3049888900,187.6180,cors_20260818113354.xls
CHCH,37.9027694400,127.7360888900,109.9210,cors_20260818113354.xls
CGJU,36.9704805600,127.9526305600,141.8330,cors_20260818113354.xls
MNSN,37.8861388900,126.7657777800,66.0520,cors_20260818113354.xls
HGCN,37.6837729100,127.8803212000,173.5640,cors_20260818113354.xls
GAGE,34.0948956100,125.0989169400,99.8700,cors_20260818113354.xls
GASA,34.4606492500,126.0428171400,84.5390,cors_20260818113354.xls
